Hamilton Downtown (29000) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Nitrogen Dioxide [NO2] Concentrations ,,,,,,,,,,,,,,,,,,,,,,,,,,
From,January 1 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
To,December 31 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Hamilton Downtown (29000),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Elgin St./kelly St.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.257778,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.861667,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,4 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,90 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Dioxide [NO2],,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, -999 for missing data. 9999 for invalid data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Nitrogen Dioxide,2014-03-16,4,4,5,5,4,3,5,4,3,3,2,3,3,3,3,3,5,4,6,9,12,13,13,14
29000,Nitrogen Dioxide,2014-03-17,15,12,12,13,15,16,19,20,20,22,23,10,7,6,7,7,9,9,12,14,15,15,13,20
29000,Nitrogen Dioxide,2014-03-18,13,10,11,15,15,19,20,18,17,11,11,10,10,10,10,9,10,14,17,15,14,17,14,17
29000,Nitrogen Dioxide,2014-03-19,14,11,16,22,30,33,34,27,31,24,21,22,27,27,12,12,11,10,10,10,9,9,9,8
29000,Nitrogen Dioxide,2014-03-20,6,5,5,5,7,7,8,9,9,8,8,7,6,6,7,6,6,6,6,7,8,9,11,10
29000,Nitrogen Dioxide,2014-03-21,8,7,9,11,12,13,17,13,10,7,7,6,5,5,5,5,6,6,8,12,13,12,18,24
29000,Nitrogen Dioxide,2014-03-22,16,11,8,8,9,13,7,6,7,5,4,5,5,4,5,5,6,6,7,6,7,4,4,3
29000,Nitrogen Dioxide,2014-03-23,3,3,3,4,6,8,6,4,2,2,2,2,2,2,2,3,3,3,4,4,8,9,9,7
29000,Nitrogen Dioxide,2014-03-24,6,6,10,10,9,15,22,14,7,5,4,4,4,5,5,6,6,5,7,12,11,12,13,12
29000,Nitrogen Dioxide,2014-03-25,10,11,11,12,16,25,23,16,7,4,4,5,4,5,8,7,6,6,6,8,7,5,3,3
